traj_id,t,y,u
3,0.0,1.4697065353393555,1.0
3,0.015640273690223694,1.4397611618041992,1.0
3,0.03128054738044739,1.4097760915756226,1.0
3,0.04692082107067108,1.3797887563705444,1.0
3,0.06256109476089478,1.349834680557251,1.0
3,0.07820136845111847,1.3199471235275269,1.0
3,0.09384164214134216,1.2901577949523926,1.0
3,0.10948191583156586,1.2604961395263672,1.0
3,0.12512218952178955,1.230989933013916,1.0
3,0.14076246321201324,1.2016650438308716,1.0
3,0.15640273690223694,1.1725455522537231,1.0
3,0.17204301059246063,1.1436537504196167,1.0
3,0.18768328428268433,1.1150102615356445,1.0
3,0.20332355797290802,1.0866341590881348,1.0
3,0.2189638316631317,1.0585428476333618,1.0
3,0.2346041053533554,1.030752182006836,1.0
3,0.2502443790435791,1.0032767057418823,1.0
3,0.265884667634964,0.9761295914649963,1.0
3,0.2815249264240265,0.9493227005004883,1.0
3,0.2971652150154114,0.9228665232658386,1.0
3,0.3128054738044739,0.8967705965042114,1.0
3,0.32844576239585876,0.8710431456565857,1.0
3,0.34408602118492126,0.8456916213035583,1.0
3,0.35972630977630615,0.8207221627235413,1.0
3,0.37536656856536865,0.7961403727531433,1.0
3,0.39100685715675354,0.7719506621360779,1.0
3,0.40664711594581604,0.7481569051742554,1.0
3,0.4222874045372009,0.7247620820999146,1.0
3,0.4379276633262634,0.7017685770988464,1.0
3,0.4535679519176483,0.67917799949646,1.0
3,0.4692082107067108,0.6569916009902954,1.0
3,0.4848484992980957,0.6352097988128662,1.0
3,0.5004887580871582,0.6138328313827515,1.0
3,0.5161290168762207,0.5928602814674377,1.0
3,0.531769335269928,0.5722912549972534,1.0
3,0.5474095940589905,0.5521247386932373,1.0
3,0.563049852848053,0.5323591232299805,1.0
3,0.5786901116371155,0.5129926204681396,1.0
3,0.5943304300308228,0.49402308464050293,1.0
3,0.6099706888198853,0.47544828057289124,1.0
3,0.6256109476089478,0.45726558566093445,1.0
3,0.6412512063980103,0.4394722282886505,1.0
3,0.6568915247917175,0.42206519842147827,1.0
3,0.67253178358078,0.40504154562950134,1.0
3,0.6881720423698425,0.3883979916572571,1.0
3,0.703812301158905,0.37213119864463806,1.0
3,0.7194526195526123,0.3562376797199249,1.0
3,0.7350928783416748,0.3407140374183655,1.0
3,0.7507331371307373,0.3255566656589508,1.0
3,0.7663733959197998,0.310761958360672,1.0
3,0.7820137143135071,0.2963261902332306,1.0
3,0.7976539731025696,0.28224581480026245,1.0
3,0.8132942318916321,0.2685171067714691,1.0
3,0.8289344906806946,0.2551363706588745,1.0
3,0.8445748090744019,0.2420998513698578,1.0
3,0.8602150678634644,0.2294040024280548,1.0
3,0.8758553266525269,0.2170451283454895,1.0
3,0.8914955854415894,0.20501959323883057,1.0
3,0.9071359038352966,0.1933237761259079,1.0
3,0.9227761626243591,0.18195421993732452,1.0
3,0.9384164214134216,0.1709073781967163,1.0
3,0.9540566802024841,0.16017980873584747,1.0
3,0.9696969985961914,0.14976805448532104,1.0
3,0.9853372573852539,0.13966885209083557,1.0
3,1.0009775161743164,0.12987887859344482,1.0
3,1.016617774963379,0.12039490789175034,1.0
3,1.0322580337524414,0.11121377348899841,1.0
3,1.047898292541504,0.10233238339424133,1.0
3,1.063538670539856,0.09374763816595078,1.0
3,1.0791789293289185,0.08545670658349991,1.0
3,1.094819188117981,0.07745662331581116,1.0
3,1.1104594469070435,0.06974457204341888,1.0
3,1.126099705696106,0.062317799776792526,1.0
3,1.1417399644851685,0.05517362430691719,1.0
3,1.157380223274231,0.048309437930583954,1.0
3,1.1730204820632935,0.041722699999809265,1.0
3,1.1886608600616455,0.03541089966893196,1.0
3,1.204301118850708,0.02937173843383789,1.0
3,1.2199413776397705,0.023602847009897232,1.0
3,1.235581636428833,0.018101975321769714,1.0
3,1.2512218952178955,0.012866943143308163,1.0
3,1.266862154006958,0.007895643822848797,1.0
3,1.2825024127960205,0.003186039160937071,1.0
3,1.298142671585083,-0.0012638382613658905,1.0
3,1.313783049583435,-0.005455917213112116,1.0
3,1.3294233083724976,-0.009391962550580502,1.0
3,1.34506356716156,-0.013073768466711044,1.0
3,1.3607038259506226,-0.016503026708960533,1.0
3,1.376344084739685,-0.01968136429786682,1.0
3,1.3919843435287476,-0.022610340267419815,1.0
3,1.40762460231781,-0.02529144659638405,1.0
3,1.4232648611068726,-0.02772611379623413,1.0
3,1.4389052391052246,-0.029915718361735344,1.0
3,1.454545497894287,-0.031861525028944016,1.0
3,1.4701857566833496,-0.033564791083335876,1.0
3,1.485826015472412,-0.035026684403419495,1.0
3,1.5014662742614746,-0.03624831512570381,1.0
3,1.517106533050537,-0.037230733782052994,1.0
3,1.5327467918395996,-0.037974923849105835,1.0
3,1.548387050628662,-0.038481809198856354,1.0
3,1.5640274286270142,-0.03875225782394409,1.0
3,1.5796676874160767,-0.03878706693649292,1.0
3,1.5953079462051392,-0.03858698904514313,1.0
