traj_id,t,y,u
0,0.0,0.013893842697143555,-0.020763034000992775
0,0.015640273690223694,-0.013796716928482056,-0.022835498675704002
0,0.03128054738044739,-0.04140973091125488,-0.024510014802217484
0,0.04692082107067108,-0.06895257532596588,-0.02579588256776333
0,0.06256109476089478,-0.09643244743347168,-0.026702335104346275
0,0.07820136845111847,-0.12385633587837219,-0.027240466326475143
0,0.09384164214134216,-0.15123099088668823,-0.027422182261943817
0,0.10948191583156586,-0.1785629242658615,-0.027260249480605125
0,0.12512218952178955,-0.20585834980010986,-0.026768343523144722
0,0.14076246321201324,-0.23312318325042725,-0.025961536914110184
0,0.15640273690223694,-0.26036301255226135,-0.024855023249983788
0,0.17204301059246063,-0.2875831127166748,-0.023465007543563843
0,0.18768328428268433,-0.3147883117198944,-0.021808495745062828
0,0.20332355797290802,-0.3419831097126007,-0.019903192296624184
0,0.2189638316631317,-0.3691715598106384,-0.017766812816262245
0,0.2346041053533554,-0.3963572680950165,-0.015418249182403088
0,0.2502443790435791,-0.42354339361190796,-0.012876378372311592
0,0.265884667634964,-0.45073264837265015,-0.01016044057905674
0,0.2815249264240265,-0.4779270887374878,-0.007290287874639034
0,0.2971652150154114,-0.5051284432411194,-0.004285617731511593
0,0.3128054738044739,-0.5323376655578613,-0.0011664667399600148
0,0.32844576239585876,-0.5595554113388062,0.002047104062512517
0,0.34408602118492126,-0.58678138256073,0.005334979388862848
0,0.35972630977630615,-0.6140149831771851,0.008677287958562374
0,0.37536656856536865,-0.641254723072052,0.012053977698087692
0,0.39100685715675354,-0.668498694896698,0.015445555560290813
0,0.40664711594581604,-0.695743978023529,0.018832264468073845
0,0.4222874045372009,-0.7229872345924377,0.022195331752300262
0,0.4379276633262634,-0.7502241134643555,0.02551570162177086
0,0.4535679519176483,-0.7774497866630554,0.028775401413440704
0,0.4692082107067108,-0.8046584129333496,0.03195630759000778
0,0.4848484992980957,-0.8318434953689575,0.03504154086112976
0,0.5004887580871582,-0.8589975833892822,0.03801411762833595
0,0.5161290168762207,-0.8861125111579895,0.04085831344127655
0,0.531769335269928,-0.9131792783737183,0.043558746576309204
0,0.5474095940589905,-0.9401877522468567,0.04610093683004379
0,0.563049852848053,-0.9671271443367004,0.04847133904695511
0,0.5786901116371155,-0.9939857721328735,0.05065694823861122
0,0.5943304300308228,-1.0207511186599731,0.05264577642083168
0,0.6099706888198853,-1.0474092960357666,0.05442686006426811
0,0.6256109476089478,-1.0739459991455078,0.05599002167582512
0,0.6412512063980103,-1.1003458499908447,0.057326268404722214
0,0.6568915247917175,-1.1265926361083984,0.05842739716172218
0,0.67253178358078,-1.1526689529418945,0.05928615853190422
0,0.6881720423698425,-1.1785566806793213,0.059896886348724365
